type,difficulty,category,question,correct_answer,id
boolean,hard,History,The Kingdom of Prussia briefly held land in Estonia.,FALSE,CSV251
boolean,medium,History,"In World War II, Hawker Typhoons served in the Pacific theater.",FALSE,CSV252
boolean,medium,History,The two atomic bombs dropped on Japan by the United States in August 1945 were named &#039;Little Man&#039; and &#039;Fat Boy&#039;.,FALSE,CSV253
boolean,easy,History,The Tiananmen Square protests of 1989 were held in Hong Kong.,FALSE,CSV254
boolean,hard,History,"The Battle of Trafalgar took place on October 23rd, 1805",FALSE,CSV255
boolean,medium,History,Theodore Roosevelt Jr. was the only General involved in the initial assault on D-Day.,TRUE,CSV256
boolean,easy,History,The Cold War ended with Joseph Stalin&#039;s death.,FALSE,CSV257
boolean,medium,History,The first televised presidential debate was between Jimmy Carter and Gerald Ford.,FALSE,CSV258
boolean,medium,History,The Hundred Years&#039; War was fought for more than a hundred years.,TRUE,CSV259
boolean,easy,History,The United States Department of Homeland Security was formed in response to the September 11th attacks.,TRUE,CSV260
